-0.82,0.25,0.53
-0.42,0.67,0.07
-0.42,0.81,-0.08
-0.05,0.97,-0.47
0.12,0.91,-0.06
0.77,1.02,-0.38
0.88,0.80,-0.08
1.05,0.64,0.08
0.62,0.16,-0.05
0.63,0.06,-0.18
-0.26,-0.31,0.23
-0.37,0.23,0.14
-0.38,0.66,0.09
-0.58,0.81,0.67
-0.01,0.84,0.54
-0.04,0.67,0.57
-0.67,0.25,0.68
-0.59,0.40,0.51
-0.51,0.92,-0.03
-0.25,1.36,-0.35
0.33,1.63,-0.02
0.66,1.39,-0.31
0.75,1.17,-0.42
0.61,0.75,-0.30
0.69,0.48,-0.58
0.28,-0.08,0.49
-0.18,-0.05,0.51
-0.75,0.39,1.04
-0.59,0.79,0.69
-0.31,0.90,-0.14
