0.08,0.93,-0.31
0.19,0.83,-0.51
0.46,0.85,-0.54
0.65,0.61,-0.36
0.87,0.47,-0.27
0.76,0.05,-0.16
0.67,-0.22,-0.25
0.33,0.04,0.22
-0.41,0.65,0.73
-0.39,0.95,0.61
-0.27,1.20,1.04
-0.19,0.63,0.29
0.21,0.35,0.13
-0.60,0.44,0.08
-0.55,0.90,-0.09
-0.44,0.95,0.21
-0.06,1.18,-0.04
-0.07,1.06,-0.03
0.53,1.07,-0.41
0.46,0.86,-0.61
0.85,0.69,-0.50
0.47,0.35,-0.27
0.22,0.04,1.02
-0.26,0.20,1.04
-0.39,0.39,0.80
-0.36,0.65,-0.06
-0.36,0.86,0.05
-0.12,1.05,-0.37
0.09,0.93,-0.09
0.30,0.90,-0.43

