-0.70,0.57,1.04
-0.43,0.79,0.16
-0.38,0.85,-0.18
0.05,0.83,-0.45
0.48,0.82,-0.69
0.58,0.56,-0.30
0.88,0.44,-0.73
1.04,0.22,0.16
0.69,0.20,0.12
0.00,-0.06,0.32
-0.07,0.33,0.58
-0.53,0.38,0.28
-0.30,0.84,0.91
0.22,0.92,0.80
0.33,0.57,0.18
0.38,0.24,-0.35
0.24,0.11,0.10
-0.53,0.47,0.68
-1.12,0.54,0.36
-0.67,0.93,0.01
-0.12,1.35,-0.02
0.37,1.41,-0.15
0.64,1.19,-0.39
0.41,0.88,-0.64
0.69,0.60,-0.68
0.56,0.12,0.11
0.12,0.05,0.68
-0.65,0.23,1.04
-0.44,0.60,0.73
-0.40,0.68,0.04
