-0.33,0.45,0.16
-0.31,0.50,0.42
-0.58,0.42,0.21
-0.83,0.43,0.30
-0.77,0.55,-0.15
-0.66,0.69,-0.06
-0.51,0.90,-0.23
-0.20,0.93,0.06
0.13,0.91,-0.01
0.31,0.85,0.03
0.72,0.73,0.04
0.58,0.54,0.12
0.74,0.46,0.38
0.66,0.21,-0.02
0.62,0.15,0.12
0.36,0.08,-0.24
0.08,0.21,-0.07
-0.23,0.22,0.19
-0.33,0.37,0.10
-0.57,0.37,0.25
-0.74,0.54,0.19
-0.72,0.55,0.27
-0.83,0.69,-0.09
-0.56,0.79,0.09
-0.55,0.82,-0.05
-0.21,0.66,0.05
-0.29,0.69,0.11
0.38,0.84,0.03
0.91,0.89,0.10
0.89,0.76,-0.10


